Steps_Before,Hour,Date,DOW,Is_Weekend,Abandon_Ratio,Avg_Sess_Per_Month,Is_AB
6,5,19,2,0.0,0.33,1.2,0.0
18,4,23,6,1.0,0.14,5.8,1.0
5,5,23,6,1.0,0.14,5.8,0.0
15,10,27,3,0.0,0.14,5.8,0.0
31,7,4,1,0.0,1.0,0.2,1.0
5,6,7,4,0.0,0.2,1.0,0.0
0,5,1,5,0.0,0.43,4.2,1.0
4,7,1,5,0.0,0.43,4.2,0.0
4,7,1,5,0.0,0.43,4.2,0.0
6,15,2,6,1.0,0.43,4.2,0.0
6,16,2,6,1.0,0.43,4.2,0.0
6,15,5,2,0.0,0.43,4.2,1.0
6,16,8,5,0.0,0.43,4.2,1.0
5,16,8,5,0.0,0.43,4.2,0.0
1,17,8,5,0.0,0.43,4.2,0.0
10,4,28,4,0.0,0.43,4.2,1.0
14,7,28,4,0.0,0.43,4.2,1.0
14,11,28,4,0.0,0.43,4.2,1.0
12,12,29,5,0.0,0.43,4.2,1.0
14,11,30,6,1.0,0.43,4.2,1.0
15,16,6,3,0.0,0.2,1.0,0.0
13,16,6,3,0.0,0.2,1.0,1.0
4,7,3,0,1.0,0.07,2.8,0.0
6,3,22,5,0.0,0.07,2.8,0.0
16,9,2,6,1.0,0.1,2.0,0.0
9,15,5,2,0.0,0.1,2.0,0.0
5,14,30,6,1.0,0.1,2.0,0.0
1,16,4,1,0.0,0.0,0.2,0.0
3,11,15,5,0.0,0.0,0.4,0.0
6,16,28,4,0.0,1.0,0.6,1.0
9,0,1,5,0.0,0.15,5.4,0.0
10,4,5,2,0.0,0.15,5.4,1.0
6,15,14,4,0.0,0.15,5.4,1.0
5,3,20,3,0.0,0.15,5.4,0.0
4,8,20,3,0.0,0.15,5.4,0.0
10,6,23,6,1.0,0.15,5.4,0.0
6,1,26,2,0.0,0.15,5.4,0.0
35,7,29,5,0.0,0.11,1.8,1.0
27,13,2,6,1.0,0.43,1.4,1.0
14,10,3,0,1.0,0.43,1.4,1.0
5,11,22,5,0.0,0.43,1.4,0.0
5,5,23,6,1.0,0.43,1.4,0.0
6,10,14,4,0.0,1.0,0.2,1.0
2,6,14,4,0.0,0.44,1.8,1.0
4,6,14,4,0.0,0.44,1.8,1.0
12,7,14,4,0.0,0.44,1.8,0.0
2,7,14,4,0.0,0.44,1.8,0.0
4,8,14,4,0.0,0.44,1.8,0.0
4,11,15,5,0.0,0.44,1.8,0.0
11,8,29,5,0.0,0.44,1.8,0.0
10,4,29,5,0.0,0.0,1.0,0.0
17,17,16,6,1.0,0.5,0.4,0.0
7,16,15,5,0.0,0.18,2.2,1.0
6,15,19,2,0.0,0.18,2.2,0.0
4,8,1,5,0.0,0.5,0.4,0.0
4,6,5,2,0.0,0.5,0.4,1.0
2,13,5,2,0.0,0.25,4.8,0.0
1,6,14,4,0.0,0.25,4.8,0.0
8,16,14,4,0.0,0.25,4.8,0.0
3,12,21,4,0.0,0.25,4.8,1.0
14,5,22,5,0.0,0.25,4.8,1.0
5,7,23,6,1.0,0.25,4.8,0.0
19,8,7,4,0.0,1.0,0.4,1.0
14,14,28,4,0.0,1.0,0.4,1.0
6,7,1,5,0.0,0.12,9.6,0.0
4,10,3,0,1.0,0.12,9.6,0.0
26,1,4,1,0.0,0.12,9.6,0.0
4,5,4,1,0.0,0.12,9.6,0.0
8,3,9,6,1.0,0.12,9.6,0.0
6,8,9,6,1.0,0.12,9.6,0.0
6,15,21,4,0.0,0.12,9.6,0.0
4,4,27,3,0.0,0.12,9.6,0.0
8,13,20,3,0.0,0.0,0.2,0.0
54,9,26,2,0.0,1.0,0.8,1.0
11,9,26,2,0.0,1.0,0.8,1.0
9,10,8,5,0.0,0.75,0.8,1.0
3,6,9,6,1.0,0.75,0.8,0.0
7,17,30,6,1.0,1.0,0.2,1.0
14,18,7,4,0.0,0.21,2.8,0.0
16,9,12,2,0.0,0.21,2.8,0.0
31,17,22,5,0.0,0.21,2.8,0.0
17,4,30,6,1.0,0.21,2.8,0.0
9,11,9,6,1.0,0.0,0.2,0.0
5,6,15,5,0.0,1.0,0.2,1.0
8,7,17,0,1.0,0.33,2.4,1.0
10,11,20,3,0.0,0.33,2.4,1.0
6,11,20,3,0.0,0.33,2.4,1.0
7,12,20,3,0.0,0.33,2.4,0.0
8,19,20,3,0.0,0.33,2.4,0.0
5,2,22,5,0.0,0.0,0.4,0.0
7,13,28,4,0.0,0.0,0.2,0.0
5,12,11,1,0.0,1.0,0.2,1.0
14,3,20,3,0.0,0.4,1.0,1.0
5,7,22,5,0.0,0.4,1.0,1.0
25,16,15,5,0.0,1.0,0.2,1.0
4,6,5,2,0.0,0.0,2.6,0.0
4,8,7,4,0.0,0.0,2.6,0.0
4,5,10,0,1.0,0.0,2.6,0.0
17,12,29,5,0.0,0.0,2.6,0.0
3,6,9,6,1.0,0.33,1.2,0.0
25,19,11,1,0.0,0.33,1.2,1.0
12,16,24,0,1.0,0.33,1.2,0.0
15,10,28,4,0.0,0.33,1.2,0.0
10,10,17,0,1.0,0.18,2.2,0.0
5,8,21,4,0.0,0.18,2.2,0.0
10,4,23,6,1.0,0.18,2.2,0.0
10,13,26,2,0.0,0.18,2.2,1.0
4,13,26,2,0.0,0.18,2.2,1.0
5,6,27,3,0.0,0.18,2.2,0.0
3,14,9,6,1.0,0.17,1.2,0.0
5,11,5,2,0.0,0.0,1.0,0.0
11,3,29,5,0.0,0.0,1.0,0.0
9,15,8,5,0.0,0.08,2.4,0.0
3,8,23,6,1.0,0.08,2.4,0.0
6,11,7,4,0.0,1.0,0.2,1.0
4,12,1,5,0.0,0.25,1.6,0.0
8,4,7,4,0.0,0.25,1.6,0.0
5,10,17,0,1.0,0.25,1.6,0.0
5,6,19,2,0.0,0.25,1.6,0.0
5,7,20,3,0.0,0.25,1.6,0.0
9,6,5,2,0.0,1.0,0.2,1.0
30,15,24,0,1.0,1.0,0.2,1.0
12,17,11,1,0.0,0.38,1.6,0.0
7,8,26,2,0.0,0.38,1.6,1.0
7,17,18,1,0.0,0.0,0.6,0.0
7,3,19,2,0.0,0.0,0.6,0.0
4,7,20,3,0.0,0.0,1.8,0.0
6,2,2,6,1.0,1.0,0.4,1.0
28,5,3,0,1.0,1.0,0.4,1.0
7,2,1,5,0.0,0.5,0.4,0.0
7,15,5,2,0.0,0.0,0.2,0.0
6,13,1,5,0.0,0.12,8.6,0.0
5,3,23,6,1.0,0.12,8.6,0.0
11,5,23,6,1.0,0.12,8.6,0.0
6,10,29,5,0.0,0.12,8.6,0.0
5,6,17,0,1.0,0.12,3.4,0.0
13,3,28,4,0.0,0.12,3.4,0.0
5,7,17,0,1.0,0.0,0.2,0.0
7,11,15,5,0.0,0.75,0.8,1.0
10,11,21,4,0.0,0.75,0.8,0.0
4,9,14,4,0.0,0.4,2.0,1.0
8,9,14,4,0.0,0.4,2.0,1.0
10,13,21,4,0.0,0.4,2.0,0.0
1,13,21,4,0.0,0.4,2.0,0.0
9,15,2,6,1.0,0.62,2.6,1.0
9,11,9,6,1.0,0.62,2.6,0.0
19,19,25,1,0.0,0.62,2.6,1.0
5,12,29,5,0.0,0.62,2.6,1.0
43,10,13,3,0.0,1.0,0.4,1.0
5,11,29,5,0.0,1.0,0.2,1.0
9,14,12,2,0.0,0.0,0.6,0.0
14,6,11,1,0.0,1.0,0.2,1.0
6,18,15,5,0.0,0.11,1.8,1.0
5,15,28,4,0.0,0.11,1.8,0.0
6,18,1,5,0.0,0.17,1.2,0.0
4,14,13,3,0.0,0.17,1.2,0.0
6,16,23,6,1.0,0.17,1.2,1.0
27,20,29,5,0.0,0.17,1.2,0.0
4,3,4,1,0.0,0.08,13.2,0.0
12,5,5,2,0.0,0.08,13.2,0.0
12,5,7,4,0.0,0.08,13.2,0.0
6,5,7,4,0.0,0.08,13.2,0.0
6,5,7,4,0.0,0.08,13.2,0.0
6,6,7,4,0.0,0.08,13.2,0.0
5,5,14,4,0.0,0.08,13.2,1.0
2,5,14,4,0.0,0.08,13.2,0.0
11,10,14,4,0.0,0.08,13.2,0.0
8,4,18,1,0.0,0.08,13.2,0.0
7,5,21,4,0.0,0.08,13.2,0.0
6,5,21,4,0.0,0.08,13.2,0.0
13,1,22,5,0.0,0.08,13.2,0.0
5,5,22,5,0.0,0.08,13.2,0.0
8,4,26,2,0.0,0.08,13.2,0.0
8,5,28,4,0.0,0.08,13.2,0.0
8,5,29,5,0.0,0.08,13.2,0.0
6,11,10,0,1.0,0.0,1.2,0.0
33,5,5,2,0.0,0.43,2.8,0.0
31,18,13,3,0.0,0.43,2.8,1.0
11,16,6,3,0.0,0.12,4.8,1.0
5,16,9,6,1.0,0.12,4.8,0.0
3,18,13,3,0.0,0.12,4.8,0.0
2,7,15,5,0.0,0.12,4.8,0.0
2,11,15,5,0.0,0.12,4.8,0.0
18,18,19,2,0.0,0.12,4.8,0.0
2,16,31,0,1.0,0.12,4.8,0.0
7,10,11,1,0.0,1.0,0.2,1.0
